Loading static graph/features (shared across all trials, k fixed)...
n_train=324  sigma_ref=0.00877
trial 62: hidden_dim=64 n_layers=5 lr=1.44e-03 dropout=0.015 weight_decay=1.00e-06
  trial 70  [internal val]  R2=0.9432  worst_rMAE=0.0502  mean_rMAE=0.0280  mean_KLw=3.5941  max_KLw=7.0878
trial 71: hidden_dim=64 n_layers=4 lr=6.11e-04 dropout=0.103 weight_decay=4.44e-06
  trial 71  epoch 0  val_loss=0.01282  best=0.01282  bad_epochs=0
  trial 71  epoch 5  val_loss=0.00736  best=0.00669  bad_epochs=1
  trial 71  epoch 10  val_loss=0.00468  best=0.00468  bad_epochs=0
  trial 71  epoch 15  val_loss=0.00366  best=0.00366  bad_epochs=0
  trial 71  epoch 20  val_loss=0.00346  best=0.00306  bad_epochs=1
  trial 71: pruned at epoch 23 (val_loss=0.00289)
trial 72: hidden_dim=64 n_layers=4 lr=8.65e-04 dropout=0.111 weight_decay=2.76e-06
  trial 72  epoch 0  val_loss=0.01224  best=0.01224  bad_epochs=0
  trial 72  epoch 5  val_loss=0.00782  best=0.00660  bad_epochs=1
  trial 72  epoch 10  val_loss=0.00592  best=0.00549  bad_epochs=1
  trial 72  epoch 15  val_loss=0.00344  best=0.00344  bad_epochs=0
  trial 72  epoch 20  val_loss=0.00367  best=0.00302  bad_epochs=2
  trial 72: pruned at epoch 23 (val_loss=0.00313)
trial 73: hidden_dim=64 n_layers=4 lr=4.18e-04 dropout=0.076 weight_decay=7.29e-06
  trial 73  epoch 0  val_loss=0.01363  best=0.01363  bad_epochs=0
  trial 73  epoch 5  val_loss=0.00745  best=0.00745  bad_epochs=0
  trial 73  epoch 10  val_loss=0.00502  best=0.00502  bad_epochs=0
  trial 73  epoch 15  val_loss=0.00378  best=0.00378  bad_epochs=0
  trial 73: pruned at epoch 18 (val_loss=0.00339)
trial 74: hidden_dim=64 n_layers=4 lr=1.17e-03 dropout=0.037 weight_decay=3.30e-06
  trial 74  epoch 0  val_loss=0.01155  best=0.01155  bad_epochs=0
  trial 74  epoch 5  val_loss=0.00641  best=0.00641  bad_epochs=0
  trial 74  epoch 10  val_loss=0.00416  best=0.00416  bad_epochs=0
