Loading static graph/features (shared across all trials, k fixed)...
n_train=324
trial 51: hidden_dim=64 n_layers=5 lr=6.73e-03 dropout=0.099 weight_decay=5.27e-06
  trial 54  epoch 23  val_loss=0.00202  best=0.00202  bad_epochs=0
  trial 54  epoch 24  val_loss=0.00301  best=0.00202  bad_epochs=1
  trial 54  epoch 25  val_loss=0.00493  best=0.00202  bad_epochs=2
  trial 54  epoch 26  val_loss=0.00222  best=0.00202  bad_epochs=3
  trial 54  epoch 27  val_loss=0.00241  best=0.00202  bad_epochs=4
  trial 54  epoch 28  val_loss=0.00197  best=0.00197  bad_epochs=0
  trial 54  epoch 29  val_loss=0.00207  best=0.00197  bad_epochs=1
  trial 54  epoch 30  val_loss=0.00266  best=0.00197  bad_epochs=2
  trial 54  epoch 31  val_loss=0.00170  best=0.00170  bad_epochs=0
  trial 54  epoch 32  val_loss=0.00184  best=0.00170  bad_epochs=1
  trial 54  epoch 33  val_loss=0.00178  best=0.00170  bad_epochs=2
  trial 54  epoch 34  val_loss=0.00190  best=0.00170  bad_epochs=3
  trial 54  epoch 35  val_loss=0.00168  best=0.00168  bad_epochs=0
  trial 54  epoch 36  val_loss=0.00229  best=0.00168  bad_epochs=1
  trial 54  epoch 37  val_loss=0.00207  best=0.00168  bad_epochs=2
  trial 54  epoch 38  val_loss=0.00198  best=0.00168  bad_epochs=3
  trial 54  epoch 39  val_loss=0.00177  best=0.00168  bad_epochs=4
  trial 54  epoch 40  val_loss=0.00177  best=0.00168  bad_epochs=5
  trial 54  epoch 41  val_loss=0.00160  best=0.00160  bad_epochs=0
  trial 54  epoch 42  val_loss=0.00234  best=0.00160  bad_epochs=1
  trial 54  epoch 43  val_loss=0.00150  best=0.00150  bad_epochs=0
  trial 54  epoch 44  val_loss=0.00185  best=0.00150  bad_epochs=1
  trial 54  epoch 45  val_loss=0.00167  best=0.00150  bad_epochs=2
  trial 54  epoch 46  val_loss=0.00235  best=0.00150  bad_epochs=3
  trial 54  epoch 47  val_loss=0.00137  best=0.00137  bad_epochs=0
  trial 54  epoch 48  val_loss=0.00173  best=0.00137  bad_epochs=1
  trial 54  epoch 49  val_loss=0.00207  best=0.00137  bad_epochs=2
  trial 54  epoch 50  val_loss=0.00134  best=0.00134  bad_epochs=0
  trial 54  epoch 51  val_loss=0.00213  best=0.00134  bad_epochs=1
  trial 54  epoch 52  val_loss=0.00146  best=0.00134  bad_epochs=2
  trial 54  epoch 53  val_loss=0.00145  best=0.00134  bad_epochs=3
  trial 54  epoch 54  val_loss=0.00142  best=0.00134  bad_epochs=4
  trial 54  epoch 55  val_loss=0.00136  best=0.00134  bad_epochs=5
  trial 54  epoch 56  val_loss=0.00138  best=0.00134  bad_epochs=6
  trial 54  epoch 57  val_loss=0.00118  best=0.00118  bad_epochs=0
  trial 54  epoch 58  val_loss=0.00191  best=0.00118  bad_epochs=1
  trial 54  epoch 59  val_loss=0.00168  best=0.00118  bad_epochs=2
trial 55: hidden_dim=64 n_layers=4 lr=3.16e-03 dropout=0.001 weight_decay=1.92e-06
  trial 55  epoch 0  val_loss=0.01139  best=0.01139  bad_epochs=0
  trial 55  epoch 1  val_loss=0.04277  best=0.01139  bad_epochs=1
  trial 55  epoch 2  val_loss=0.00780  best=0.00780  bad_epochs=0
  trial 55  epoch 3  val_loss=0.00665  best=0.00665  bad_epochs=0
  trial 55  epoch 4  val_loss=0.00584  best=0.00584  bad_epochs=0
  trial 55  epoch 5  val_loss=0.00506  best=0.00506  bad_epochs=0
  trial 55  epoch 6  val_loss=0.01188  best=0.00506  bad_epochs=1
  trial 55  epoch 7  val_loss=0.00380  best=0.00380  bad_epochs=0
  trial 55  epoch 8  val_loss=0.00915  best=0.00380  bad_epochs=1
  trial 55  epoch 9  val_loss=0.00368  best=0.00368  bad_epochs=0
  trial 55  epoch 10  val_loss=0.00376  best=0.00368  bad_epochs=1
  trial 55  epoch 11  val_loss=0.00407  best=0.00368  bad_epochs=2
  trial 55  epoch 12  val_loss=0.00515  best=0.00368  bad_epochs=3
  trial 55  epoch 13  val_loss=0.00356  best=0.00356  bad_epochs=0
  trial 55  epoch 14  val_loss=0.00296  best=0.00296  bad_epochs=0
  trial 55  epoch 15  val_loss=0.00311  best=0.00296  bad_epochs=1
  trial 55  epoch 16  val_loss=0.00558  best=0.00296  bad_epochs=2
  trial 55  epoch 17  val_loss=0.00403  best=0.00296  bad_epochs=3
  trial 55  epoch 18  val_loss=0.00267  best=0.00267  bad_epochs=0
  trial 55  epoch 19  val_loss=0.00308  best=0.00267  bad_epochs=1
  trial 55  epoch 20  val_loss=0.00273  best=0.00267  bad_epochs=2
  trial 55  epoch 21  val_loss=0.00284  best=0.00267  bad_epochs=3
  trial 55  epoch 22  val_loss=0.00282  best=0.00267  bad_epochs=4
  trial 55  epoch 23  val_loss=0.00251  best=0.00251  bad_epochs=0
  trial 55  epoch 24  val_loss=0.00390  best=0.00251  bad_epochs=1
  trial 55  epoch 25  val_loss=0.00356  best=0.00251  bad_epochs=2
  trial 55  epoch 26  val_loss=0.00230  best=0.00230  bad_epochs=0
  trial 55  epoch 27  val_loss=0.00220  best=0.00220  bad_epochs=0
  trial 55  epoch 28  val_loss=0.00274  best=0.00220  bad_epochs=1
  trial 55  epoch 29  val_loss=0.00198  best=0.00198  bad_epochs=0
  trial 55  epoch 30  val_loss=0.00218  best=0.00198  bad_epochs=1
  trial 55  epoch 31  val_loss=0.00211  best=0.00198  bad_epochs=2
  trial 55  epoch 32  val_loss=0.00220  best=0.00198  bad_epochs=3
  trial 55  epoch 33  val_loss=0.00226  best=0.00198  bad_epochs=4
  trial 55  epoch 34  val_loss=0.00190  best=0.00190  bad_epochs=0
  trial 55  epoch 35  val_loss=0.00273  best=0.00190  bad_epochs=1
  trial 55  epoch 36  val_loss=0.00636  best=0.00190  bad_epochs=2
  trial 55  epoch 37  val_loss=0.00218  best=0.00190  bad_epochs=3
  trial 55  epoch 38  val_loss=0.00179  best=0.00179  bad_epochs=0
  trial 55  epoch 39  val_loss=0.00173  best=0.00173  bad_epochs=0
  trial 55  epoch 40  val_loss=0.00182  best=0.00173  bad_epochs=1
  trial 55  epoch 41  val_loss=0.00157  best=0.00157  bad_epochs=0
  trial 55  epoch 42  val_loss=0.00370  best=0.00157  bad_epochs=1
  trial 55  epoch 43  val_loss=0.00145  best=0.00145  bad_epochs=0
  trial 55  epoch 44  val_loss=0.00191  best=0.00145  bad_epochs=1
  trial 55  epoch 45  val_loss=0.00141  best=0.00141  bad_epochs=0
  trial 55  epoch 46  val_loss=0.00202  best=0.00141  bad_epochs=1
  trial 55  epoch 47  val_loss=0.00170  best=0.00141  bad_epochs=2
  trial 55  epoch 48  val_loss=0.00203  best=0.00141  bad_epochs=3
  trial 55  epoch 49  val_loss=0.00179  best=0.00141  bad_epochs=4
  trial 55  epoch 50  val_loss=0.00150  best=0.00141  bad_epochs=5
  trial 55  epoch 51  val_loss=0.00231  best=0.00141  bad_epochs=6
  trial 55  epoch 52  val_loss=0.00156  best=0.00141  bad_epochs=7
  trial 55  epoch 53  val_loss=0.00166  best=0.00141  bad_epochs=8
  trial 55  epoch 54  val_loss=0.00187  best=0.00141  bad_epochs=9
  trial 55  epoch 55  val_loss=0.00152  best=0.00141  bad_epochs=10
trial 56: hidden_dim=64 n_layers=5 lr=2.33e-03 dropout=0.024 weight_decay=1.36e-06
  trial 56  epoch 0  val_loss=0.01288  best=0.01288  bad_epochs=0
  trial 56  epoch 1  val_loss=0.00965  best=0.00965  bad_epochs=0
  trial 56  epoch 2  val_loss=0.00914  best=0.00914  bad_epochs=0
  trial 56  epoch 3  val_loss=0.01132  best=0.00914  bad_epochs=1
  trial 56  epoch 4  val_loss=0.00783  best=0.00783  bad_epochs=0
  trial 56  epoch 5  val_loss=0.00561  best=0.00561  bad_epochs=0
  trial 56  epoch 6  val_loss=0.00525  best=0.00525  bad_epochs=0
  trial 56  epoch 7  val_loss=0.00457  best=0.00457  bad_epochs=0
  trial 56  epoch 8  val_loss=0.01611  best=0.00457  bad_epochs=1
  trial 56  epoch 9  val_loss=0.00454  best=0.00454  bad_epochs=0
  trial 56  epoch 10  val_loss=0.00507  best=0.00454  bad_epochs=1
  trial 56  epoch 11  val_loss=0.00407  best=0.00407  bad_epochs=0
  trial 56  epoch 12  val_loss=0.00421  best=0.00407  bad_epochs=1
  trial 56  epoch 13  val_loss=0.00427  best=0.00407  bad_epochs=2
  trial 56  epoch 14  val_loss=0.00309  best=0.00309  bad_epochs=0
  trial 56  epoch 15  val_loss=0.00364  best=0.00309  bad_epochs=1
  trial 56  epoch 16  val_loss=0.00308  best=0.00308  bad_epochs=0
